#separator:tab
#html:false
姜	goeng 1 A surname
走	zau 2 to leave; to go away
堅	gin 1 strong; firm
壯	zong 3 strong; robust
介	gaai 3 to lie between
護	wu 6 to protect; to safeguard; to defend; to shelter
靠	kaau 3 to depend on; to rely on
施	si 1 to set up; to put in place; to establish
怨	jyun 3 to resent; to hate
壞	waai 6 rotten; spoiled
承	sing 4 to continue; to carry on; to succeed
受	sau 6 to receive; to accept
狂	kwong 4 mad; insane; crazy
攔	laan 4 to obstruct; to impede; to bar; to hinder
偏	pin 1 inclined on one side; slanting; askew
飲	jam 2 to keep in the heart
泣	jap 1 to weep; to sob
凍	dung 3 cold; chilly
嗎	maa 1 Final interrogative particle, forming yes/no questions.
褸	lau 1 coat
磨	mo 4 to grind; to sharpen
襟	kam 1 front of a garment
連	lin 4 to link; to join; to connect
調	diu 6 to transfer; to move; to shift
職	zik 1 duty; profession
選	syun 2 to choose; to pick; to select
送	sung 3 to see someone off
疤	baa 1 scar
瓣	faan 6 petal
鋪	pou 1 to spread out; to arrange
墳	fan 4 grave; mound
害	hoi 6 to harm; to maim; to injure
若	joek 6 like; as if
嫁	gaa 3 to marry; to become married to
彼	bei 2 that; those
需	seoi 1 to need; to require
代	doi 6 to replace; to take the place of
價	gaa 3 price; cost
靠	kaau 3 to depend on; to rely on
接	zip 3 to come near to; to be close to; to come into contact
沿	jyun 4 to follow a course, go along
浪	long 6 to stroll
遊	jau 4 to travel; to tour
淚	leoi 6 tear; teardrop
流	lau 4 to flow
憑	pang 4 to lean on
富	fu 3 abundant; ample
士	si 6 suffix for a virtuous, knowledgeable or skilled person: commendable person
私	si 1 self; personal; private
悲	bei 1 sad; sorrowful
哀	oi 1 to lament; to mourn
假	gaa 2 to disguise; to fake; to pretend
設	cit 3 to set up; to arrange
虛	heoi 1 empty; hollow
構	kau 3 to fabricate; to make up
試	si 3 to test; to try; to experiment
管	gun 2 slender tubular hollow object; pipe; tube
它	taa 1 third-person singular pronoun for inanimate objects; it
染	jim 5 to dye
污	wu 1 unclean; dirty; filthy
眸	mau 4 pupil of eye
塵	can 4 dust; dirt; ashes; cinders
硬	ngaang 6 hard
隨	ceoi 4 to follow
緣	jyun 4 lucky chance; luck or lot by which people are brought together; predestined relationship; fate; serendipity; luck or lot by which people are brought together; predestined relationship; fate; serendipity
拋	paau 1 throw away, abandon, reject
逃	tou 4 to escape; to run away
絕	zyut 6 to break off; to cut off; to sever
罕	hon 2 rare; scarce
往	wong 5 to go to; to head for
繞	jiu 2 to entwine
周	zau 1 week
化	faa 3 to change; to transform
烏	wu 1 no; not
節	zit 3 festival; celebration; holiday;
穿	cyun 1 to penetrate; to pierce
敢	gam 2 bold; brave; daring
撫	fu 2 to stroke; to caress
髮	faat 3 (anatomy) hair
端	dyun 1 end; tip
姿	zi 1 manner; carriage; bearing
汽	hei 3 steam, vapor, gas
取	ceoi 2 to get; to obtain
規	kwai 1 rule; regulation; customs; law
勸	hyun 3 to encourage; to recommend
腕	wun 2 wrist
劃	waak 6 scratch
損	syun 2 to harm; to cause destruction to; to damage
歲	seoi 3 Classifier for age (of a person or animal): year old
算	syun 3 to regard as; to consider
短	dyun 2 short (of time); brief
歸	gwai 1 to return (to a place); to come back to
里	lei 5 li (a unit of distance equal to half a kilometre in modern Mainland China)
預	jyu 6 beforehand
忘	mong 4 to forget
掉	diu 6 to drop; to fall
怨	jyun 3 hatred; enmity; resentment
櫻	jing 1 cherry
轉	zyun 1 to turn; to revolve
旅	leoi 5 journey; trip
遙	jiu 4 distant; far away
遠	jyun 5 distant; remote; far
嫌	jim 4 to be sick of; to be tired of; to be fed up with
陳	can 4 old
贈	zang 6 to give as a present; to present with
解	gaai 2 to loosen; to unfasten; to untie
咒	zau 3 to curse, to damn
溢	jat 6 to overflow; to brim over
進	zeon 3 to advance; to move forward
冬	dung 1 winter
體	tai 2 body
顫	zin 3 to shake; to vibrate; to tremble
抖	dau 2 to shake; to tremble
微	mei 4 tiny; small; trifling
徐	ceoi 4 slowly; quietly; calmly
送	sung 4 to see someone off
妝	zong 1 woman's personal adornments, makeup and dress
趟	tong 3 to take a journey
管	gun 2 Classifier for tube-shaped objects.
擴	kwong 3 to expand; to enlarge; to stretch
桃	tou 4 peach (fruit)
泛	faan 6 to float on water; to drift
讓	joeng 6 to allow; to let; to permit
欣	jan 1 happy; joyous; delighted
賞	soeng 2 to present as a gift; to bestow; to grant
姿	zi 1 manner; carriage; bearing
采	coi 2 expression; spirit; complexion
凌	ling 4 to rise high; to go up; to climb over; to traverse
晨	san 4 dawn; morning; daybreak
播	bo 3 to broadcast; to spread
傾	king 1 to chat; to converse
優	jau 1 excellent; superior
雅	ngaa 5 elegant; graceful; refined
粉	fan 2 powder
舞	mou 5 to dance (move rhythmically)
曲	kuk 1 song
協	hip 3 to cooperate; to work together; to collaborate
奏	zau 3 to play a musical instrument; to give an instrumental performance
樂	ngok 6 music; tune; melody; song
支	zi 1 to support; to bear; to sustain
配	pui 3 to match
官	gun 1 government official, public servant
灰	fui 1 dust; ash
踢	tek 3 to kick
繪	kui 3 to draw; to sketch; to paint
盧	lou 4 A surname
巧	haau 2 ingenious; skillful
炸	zaa 3 to fry in oil
蟹	haai 5 crab
餃	gaau 2 stuffed dumpling
酥	sou 1 flaky pastry; shortbread
蠔	hou 4 oyster
饅	maan 6 chinese steamed bun; maantou
蛋	daan 6 egg
丸	jyun 4 small round object; ball; pellet
湯	tong 1 broth; stock
麻	maa 4 numb; senseless
辣	laat 6 spicy
瑞	seoi 6 auspicious omen
翼	jik 6 wing
葉	jip 6 leaf; petal
沙	saa 1 sand
嗲	de 2 coy; acting spoiled or flirtatious
豬	zyu 1 pig; hog; swine
皮	pei 4 skin
雜	zaap 6 miscellaneous; mixed
百	baak 3 hundred
白	baak 6 white
灼	coek 3 to broil
潤	jeon 6 wet; moist; damp
拼	ping 3 to accompany; to follow
招	ziu 1 poster; signboard
牌	paai 4 brand; trademark
乾	gon 1 dry; moistureless
炒	caau 2 to stir fry; to saute
豉	si 6 fermented bean
皇	wong 4 emperor; sovereign; ruler; superior
星	sing 1 star; planet; heavenly body
洲	zau 1 continent
瑤	jiu 4 fine; precious
柱	cyu 5 pillar; post; column
金	gam 1 gold
銀	ngan 4 silver
燜	mun 6 simmer, cook over slow fire
蝦	haa 1 shrimp; prawn; lobster
廣	gwong 2 broad; wide; extensive; vast
燴	wui 6 ragout, cook, braise
滑	waat 6 to slip; to slide
潮	ciu 4 trendy; popular
菇	gu 1 mushroom
伊	ji 1 this; that
拆	caak 3 to take apart; to dismantle
秘	bei 3 secret; undisclosed; confidential
製	zai 3 to make; to manufacture; to produce
鮑	baau 6 abalone
窩	wo 1 nest
揚	joeng 4 to spread; to make known
素	sou 3 vegetarian
富	fu 3 rich; wealthy
貴	gwai 3 expensive; costly
福	fuk 1 blessing; happiness; prosperity; good fortune
叉	caa 1 fork
燒	siu 1 to burn
脆	ceoi 3 crisp; crispy
叻	lek 1 smart; clever; capable; good
瘦	sau 3 thin; slender; skinny
粥	zuk 1 congee; rice gruel; porridge
荔	lai 6 part one of lychee
灣	waan 4 bay; gulf
艇	teng 5 small boat; dugout; punt
滾	gwan 2 to boil
羅	lo 4 net for catching birds
漢	hon 3 man; guy; bloke
齋	zaai 1 vegetarian diet
蔥	cung 1 green onion; spring onion
檸	ning 4 lemon
檬	mung 4 lemon
奶	naai 5 milk
阿	aa 3 prefix used in front of name to express familiarity
綠	luk 6 green
蜂	fung 1 honey bee
糖	tong 4 sugar
珍	zan 1 treasure
冰	bing 1 ice
桃	tou 4 peach
枝	zi 1 branch; twig
蘋	ping 4 apple
桔	gat 1 tangerine
健	gin 6 strong; robust; vigorous
怡	ji 4 cheerful; happy; joyous
碧	bik 1 green jade
維	wai 4 to tie; to fasten; to tie up
泡	paau 1 bubble
礦	kwong 3 mineral; ore
泉	cyun 4 springwater
賦	fu 3 to bestow upon; to give
派	paai 3 to hand out; to distribute
費	fai 3 to cost; to spend; to expend
思	si 1 to think; to cogitate
燄	jim 6 flame
獎	zoeng 2 reward; prize
賞	soeng 2 award; reward
燭	zuk 1 candle; taper
裏	leoi 5 in; inside
童	tung 4 child
侍	si 6 to wait upon; to serve
應	jing 1 should; ought to
靜	zing 1 quiet; silent; devoid of noise
打	daa 2 to hit; to strike; to slap; to beat
烊	joeng 4 to smelt
逛	gwaang 6 to stroll; to roam; to wander
歸	gwai 1 to return (to a place); to come back to
純	seon 4 genuine; honest; simple
靈	ling 4 soul; spirit
魂	wan 4 soul; spirit
霎	saap 3 instant; moment
赤	cek 3 empty; bare
柱	chu 5 pillar; post; column
寧	ning 4 peaceful; tranquil; serene; at peace
佳	gaai 1 good, auspicious
蝴	wu 4 butterfly
蝶	dip 6 butterfly
襯	can 3 to match (of clothes)
偷	tau 1 to steal; to snatch
窺	kwai 1 to peep
急	gap 1 rapid; quick
璧	bik 1 jade annulus
露	lou 6 dew
底	dai 2 bottom; underneath; underside
藴	wan 5 accumulate; to hold in store; to contain
襲	zaap 6 to attack; to raid
優	jau 1 excellent; superior
雅	ngaa 5 elegant; graceful; refined
婚	fan 1 to marry; to get married
針	zam 1 needle
刺	ci 3 a pointed structure which is able to pierce something (spike, spine, thorn, etc.)
繡	sau 3 to embroider
悠	jau 4 leisurely
悶	mun 6 bored
透	tau 3 to penetrate; to pass through
廂	soeng 1 wing; side room; theater box
登	dang 1 to publish; to run (a story, an ad, etc.)
樓	lau 4 building (of two or more stories)
攜	kwai 4 to carry; to bear
雙	soeng 1 two; double; twin
步	bou 6 to walk; to stroll
霧	mou 6 fog; mist
趕	gon 2 to drive someone away; to chase away
攤	taan 1 to spread something out; to lay out
牌	paai 4 board; plate
詩	si 1 poem; verse; ode; poetry
微	mei 4 tiny; small; trifling
焚	fan 4 to burn
訂	deng 3 to arrange
淺	cin 2 shallow; not deep
酌	zoek 3 to pour an alcoholic beverage
醺	fan 1 to be drunk; to intoxicate with alcohol
演	jin 2 to perform; to act; to put on
識	sik 1 to know; to realise; to be aware
區	keoi 1 area; district; region; ward
挑	tiu 1 to pick; to select; to choose
惜	sik 1 to cherish; to adore; to value greatly; to love dearly
優	jau 1 excellent; superior
點	dim 2 point; aspect
尊	zyun 1 to respect; to revere; to venerate
被	bei 6 by
竊	sit 3 to steal
取	ceoi 2 to get; to obtain
據	geoi 3 to occupy; to take possession of
辛	san 1 hard; laborious; toilsome
擺	baai 2 to get rid of; to break free from; to push aside
脫	tyut 3 to take off (clothes); to peel off; to strip
討	tou 3 to discuss
迫	bik 1 to coerce; to force; to compel
封	fung 1 to close; to seal; to bind
捐	gyun 1 to donate
拓	tok 3 to open up; to develop; to expand
剛	gong 1 strong
秀	sau 3 beautiful; elegant; graceful
某	mau 5 certain; particular (person or thing)
展	zin 2 to exhibit; to display
習	zaap 6 to become familiar with; to be used to
守	sau 2 to defend; to protect; to keep watch
綴	zeoi 3 to decorate
拖	to 1 to drag; to tow; to haul
居	geoi 1 house; residence; dwelling
專	zyun 1 exclusively; specially
施	si 1 to set up; to put in place; to establish
脂	zi 1 fat; grease; lard
粉	fan 2 powder
坦	taan 2 honest; frank
率	seot 6 frank, straightforward
沮	zeoi 2 gloomy; glum; disheartened
喪	song 1 to mourn; to be in mourning
兇	hung 1 fierce; ferocious
悍	hon 6 vigorous; valiant
決	kyut 3 to decide; to determine
棄	hei 3 to abandon; to discard; to reject
墊	din 3 to put something under something else to raise or balance it
戰	zin 3 war; battle; fight
障	zoeng 3 obstacle; barrier; impediment
礙	ngoi 6 to obstruct; to hinder; to block; to deter
斑	baan 1 spot; stripe
峰	fung 1 peak; summit
縱	zung 3 even if; even though
午	ng 5 noon
載	zoi 3 to carry; to hold; to be loaded with
霜	soeng 1 frost
替	tai 3 to substitute for; to displace
擋	dong 2 to ward off; to block
避	bei 6 to avoid; to escape; to dodge
陰	jam 1 cloudy; overcast; gloomy
晴	cing 4 (of weather) clear; fine; cloudless
怨	jyun 3 to resent; to hate
幼	jau 3 infant; young child
稚	zi 6 young; infantile; immature
勝	sing 3 to surpass; to prevail over; to outdo
確	kok 3 real; true
此	ci 2 (literary) this
拯	cing 2 to rescue; to save; to aid
類	leoi 6 class; group; kind; category
掙	zaang 1 to struggle to get free
扎	zaat 3 to tie; to fasten; to bundle
扣	kau 3 to detain; to arrest
泣	jap 1 to weep; to sob
批	pai 1 to cut (into thin slices), peel, or shape with a knife or blade
評	ping 4 to comment on; to discuss; to debate
干	gon 1 to concern; to be implicated in; implication
擾	jiu 2 to disturb; to trouble
敏	man 5 quick
欺	hei 1 to cheat; to deceive
晨	san 4 dawn; morning; daybreak
曦	hei 1 (literary) sunshine; dawn sunlight
撐	caang 1 to prop up; to support
殼	hok 3 shell; husk; hull; skin; casing
驟	zaau 6 suddenly; abruptly
索	sok 3 (literary) alone; solitary
魄	bok 6 sound of falling
塔	taap 3 tower
玩	wun 6 to enjoy; to appreciate
紛	fan 1 to disturb; to perturb
隕	wan 5 to fall
病	beng 6 illness; sickness; disease
蔓	maan 6 to spread; to extend
延	jin 4 to prolong
仰	joeng 5 to raise the head to look
豐	fung 1 abundant; bountiful; plenty
倔	gwat 6 stubborn; obstinate
烽	fung 1 signal fire
侵	cam 1 to invade; to encroach
忌	gei 6 to avoid; to abstain from
諱	wai 5 to avoid; to regard as taboo
窮	kung 4 poor; destitute; impoverished
禮	lai 5 ritual; rite; ceremony
雛	co 4 infant; toddler
柳	lau 5 willow
躊	cau 4 to walk back and forth
躇	cyu 4 to walk back and forth
媚	mei 6 charming; attractive
叢	cung 4 bush; shrub; thicket; grove
丘	jau 1 mound; hill
卓	coek 3 outstanding; profound; brilliant; lofty
賢	jin 4 virtuous; good; clever; wise; worthy
朵	do 2 Classifier for flowers, clouds, etc.
喊	haam 3 to cry; to sob; to weep
嘞	laa 3 (Cantonese) final particle used for polite refusal
唧	zik 1 to spurt; to squirt; to pump
嘢	je 5 thing; matter; stuff
咁	gam 3 so, to such an extent
攬	laam 5 to grasp, to take hold of
錫	sek 3 to cherish, to kiss
返	faan 2 to return; to give back
啖	daam 6 Classifier for mouthfuls of thing
塊	faai 3 piece; chunk; lump; part
嘅	ge 3 Possessive particle: -'s; of
巾	gan 1 a square item of cloth; towel; kerchief
滴	dik 6 to drip; to dribble
吋	cyun 3 inch
鼻	bei 6 (anatomy) nose
涕	tai 3 nasal mucus; snot; snivel
哋	dei 6 (Cantonese, Pinghua) Plural marker for pronouns
搏	bok 3 to struggle; to wrestle; to work hard; to strive
噉	gam 2 this
咪	mai 1 (imperative) don't
旱	hon 6 drought; dry spell; aridness
潤	jeon 6 wet; moist; damp
濕	sap 1 wet; damp; moist; humid
腫	zung 2 to be swollen; to swell
係	hai 6 (formal or Cantonese, Hakka) to be
敷	fu 1 to spread; to diffuse
唔	m 4 (Cantonese, Teochew, Hakka) not (negator)
悲	bei 1 sad; sorrowful
嗌	aai 3 (Cantonese) to shout; to yell; to say something loudly
枱	toi 4 table; desk
爆	baau 3 to burst; to explode
呢	ne 1 Sentence-final particle indicating a reciprocal question
嚟	lei 4 to come; to arrive
冇	mou 5 to not have; to not exist
藥	joek 6 medicine; drug; pharmaceutical
汪	wong 1 (of bodies of water) vast and deep
靚	leng 3 (regional, including Cantonese, Hakka, Pinghua) pretty; beautiful
整	zing 3 to fix; to repair
哂	saai 3 (Cantonese, dialectal Hakka) Verbal aspect marker for full extent.
率	seot 6 frank, straightforward
哈	haa 1 (onomatopoeia) sound of laughter: ha
灘	taan 1 beach
摯	zi 3 sincere; earnest
洋	joeng 4 multitudinous; vast
捽	zeot 1 (Cantonese, Hakka) to rub
璀	ceoi 2 radiant
燦	caan 3 vivid; illuminating
餐	caan 1 meal
屋	uk 1 house
灑	saa 1 to sprinkle; to splash
叱	cik 1 to scold; to shout at; to bawl out
吒	caak 1 to roar; to shout angrily; to yell
岩	ngaam 4 cliff
含	ham 4 to hold or keep in the mouth
俾	bei 2 (literary) to make; to cause; to enable
讚	zaan 3 to praise; to commend; to eulogize
縱	zung 3 even if; even though
使	si to let; to make; to cause to
陌	mak 6 street; path; road
論	leon 6 to discuss; to reason; to debate; to argue
航	hong 4 to sail; to navigate
雷	leoi 4 lightning
玩	waan 4 to play with; to toy with
越	jyut 6 more; -er
緬	min 5 distant, remote
識	sik 1 to know; to realise; to be aware
遷	cin 1 to ascend; to go up (to)
視	si 6 to see; to look; to view
煉	lin 6 to smelt; to refine
演	jin 2 to develop; to evolve
兌	deoi 3 to exchange
衷	cung 1 inner feelings; heart; from the bottom of one's heart
周	zau 1 everywhere
賢	jin 4 virtuous; good; clever; wise; worthy
殼	hok 3 shell; husk; hull; skin; casing
恥	ci 2 shame; disgrace; humiliation
棍	gwan 3 stick, cudgel
機	gei 1 cause; reason
蒞	lei 6 to manage
蹟	zik 1 remains; ruin; vestige
製	zai 3 to make; to manufacture; to produce
裝	zong 1 outfit; clothes; clothing
飾	sik 1 ornament; decorations; adornments
灌	gun 3 to irrigate; to water
溉	koi 3 to water, irrigate, flood
參	caam 1 to join
維	wai 4 to link; to connect
護	wu 6 to protect; to safeguard; to defend; to shelter
輩	bui 3 generation
岸	ngon 6 bank; shore; coast
誠	sing 4 sincere, honest; true
懇	han 2 sincere; earnest; cordial
忿	fan 6 to be angry; to be indignant; to hate
管	gun 2 to administer; to manage; to control; to be in charge
佈	bou 3 to announce; to proclaim
胎	toi 1 fetus; unborn child
睬	coi 2 to notice, to pay attention to; to heed
載	zoi 3 to carry; to hold; to be loaded with
憐	lin 4 to pity; to sympathize
班	baan 1 group; party; class
哼	hang 1 to hum; to croon
排	paai 4 row; rank; line
恤	seot 1 to misgive
衫	saam 1 shirt; top
褲	fu 3 pants; trousers
倍	pui 5 Classifier for the number of times a value is multiplied: times; -fold
閱	jyut 6 to read; to peruse
覽	laam 5 to look at; to view; to inspect; to perceive
牆	coeng 4 wall
拿	naa 4 to take; to hold; to grasp
逛	gwaang 6 to stroll; to roam; to wande
相	soeng 3 photo; picture; photograph
簿	bou 6 register; account book; notebook
拍	paak 3 to take; to shoot (a picture, a video, etc.)
妒	dou 3 to be jealous or envious of; to envy
忌	gei 6 to be jealous; to envy; to hate
模	mou 4 model; standard; example
歷	lik 6 to experience; to go through; to undergo
仍	jing 4 to continue; to be done repeatedly
挑	tiu 1 to provoke; to incite
妖	jiu 2 abnormal or bizarre thing or phenomenon
魔	mo 4 devil; demon; evil spirit
蓋	koi 3 to cover; to conceal
踏	daap 6 to step on; to trample; to tread on
惡	ok 3 fierce; hostile; ferocious
疑	ji 4 to doubt; to question
慮	leoi 6 be concerned, worry about
尖	zim 1 sharp; having a sharp tip; pointy
幽	jau 1 to imprison
禁	gam 1 to bear; to endure
睡	seoi 6 to sleep
房	fong 4 room
況	fong 3 condition; situation
探	taam 3 to search; to explore
猜	caai 1 to guess; to suppose; to conjecture
狀	zong 6 form; appearance; state
挫	co 3 to break (something); to crush; to smash; to push down
喪	song 1 corpse; dead body
內	noi 6 inside; interior; internal; inner
外	ngoi 6 out; outside; external
惦	dim 3 to keep thinking about; to miss
毒	duk 6 poison; toxin; venom; bane
異	ji 6 different; other
獸	sau 3 beast; animal
置	zi 3 to put; to place; to plant
鍊	lin 6 to smelt; to refine
眠	min 4 to sleep
匙	si 4 key
勞	lou 4 to toil; to do manual labour
縛	bok 3 to tie up; to bind; to truss
機	gei 1 machine; apparatus; device
憐	lin 4 to pity; to sympathize
危	ngai 4 dangerous
連	lin 4 to link; to join; to connect
調	tiu 4 to adjust; to regulate
辦	baan 6 to deal with; to handle; to manage; to take care of
犯	faan 6 to commit (crime); to violate
賤	zin 6 mean; base; despicable; obnoxious
徒	tou 4 in vain; unsuccessfully; to no avail
透	tau 3 to penetrate; to pass through
婚	fan 1 to marry; to get married
飛	fei 1 to fly
票	piu 3 ticket; coupon
駱	lok 3 first character of camel
駝	to 4 second character of camel
勝	sing 1 to be able to bear; to be able to withstand
鏡	geng 3 mirror
舉	geoi 2 to raise; to lift up
杯	bui 1 drinkware; cup; glass; mug
酒	zau 3 alcoholic beverages in general; alcoholic drink
潔	git 3 clean; pure; innocent
遺	wai 4 to lose; to lose track of
腫	zung 2 to be swollen; to swell
瘤	lau 4 tumor
摘	zaak 6 to pluck; to pick (flowers, fruits, leaves etc.)
除	ceoi 4 to take off (clothes); to peel off; to strip
醫	ji 1 medicinal; medicine
院	jyun 6 institution; academy
換	wun 6 to change; to swap; to switch; to substitute
煞	saat 3 to stop; to halt
陀	to 4 steep bank; rough terrain
羨	sin 6 to envy; to admire
圈	hyun 1 circle; ring; loop
機	gei 1 machine; apparatus; device
捕	bou 6 to catch; to seize; to arrest
捉	zuk 1 to grasp; to hold; to clutch
啡	fe 1 coffee
斟	zam 1 to pour (a drink) into drinkware
護	wu 6 to protect; to safeguard; to defend; to shelter
粒	lap 1 Classifier for small, round objects: granule, grain, particle, piece
糖	tong 4 sweets; candy; lollies; confectionery
圍	wai 4 to surround; to encircle; to corral
享	hoeng 2 to enjoy
恬	tim 4 quiet; calm; tranquil; peaceful
瞬	seon 3 instant; moment; blink of an eye
跖	zek 3 sole of the foot
曆	lik 6 calendar
須	seoi 1 must; have to; should
註	zyu 3 to annotate; to comment
驟	zaau 6 sudden; abrupt
倚	ji 2 to lean on; to lean against
鄭	zeng 1 surname
鄭	zeng 1 A surname Ronald Cheng 鄭中基
特	dak 6 bull; ox Mike Tseng 曾比特
靖	zing 6 stable; peaceful; tranquil Angela Hui 許靖韻
韻	wan 6 sweet music; melodious tune Angela Hui 許靖韻
奕	jik 6 great; grand Phil Lam 林奕匡
匡	hong 1 to correct; to rectify Phil Lam 林奕匡
卓	coek 3 tall and erect Ian Chan 陳卓賢
賢	jin 4 virtuous; good; clever; wise; worthy Ian Chan 陳卓賢
祥	coeng 4 good luck, good omen, auspicious George Lam 林子祥
凱	hoi 2 triumphant; victorious Jace Chan 陳凱詠
詠	wing 6 to sing; to hum; to chant Jace Chan 陳凱詠
劉	lau 4 a surname Wilfred Lau 劉浩龍
浩	hou 6 grand; vast; great Wilfred Lau 劉浩龍
軒	hin 1 high; lofty; airy Hins Cheung 張敬軒
周	zau 1 to circle; to encircle Endy Chow 周國賢
梁	loeng 4 a surname Edmond Leung 梁漢文
迅	seon 3 quick; rapid Eason Chan 陳奕迅
姜	goeng 1 a surname Keung To 姜濤
濤	tou 4 billows; large waves Keung To 姜濤
蘇	sou 1 to reap grass William So 蘇永康
麟	leon 4 big deer Alan Tam 譚詠麟
岑	sam 4 A surname Yoyo Sham 岑寧兒
寧	ning 4 peaceful; tranquil; serene; at peace Yoyo Sham 岑寧兒
郭	gwok 3 outer city wall Aaron Kwok 郭富城
江	gong 1 A surname Anson Kong 江𤒹生
𤒹	jip 6 (literary, of a flame) bright; magnificent; glorious Anson Kong 江𤒹生
膽	daam 2 (figurative) guts; courage; bravery; strength; nerve
聊	liu 4 for the time being; tentatively
淒	cai 1 miserable; sorrowful; sad
群	kwan 4 group; crowd; flock; herd; pack
近	kan 5 near; close
塌	taap 3 to collapse; to fall down; to cave in
徹	cit 3 to penetrate; to pierce; to pervade
乎	fu 4 in; at; on
抬	toi 4 to lift; to heave
肝	gon 1 liver
膽	daam 2 gallbladder
幻	waan 6 illusion; fantasy; mirage
拼	ping 3 to accompany; to follow
矛	maau 4 spear; lance
盾	teon 5 shield
暫	zaam 6 temporarily; tentatively; for the time being
睏	kwan 3 sleepy; tired
腔	hong 1 cavity; hollow in body
卑	bei 1 low; inferior
驚	ging 1 to fear; to be afraid
李	lei 5 plum (tree and fruit)
微	mei 4 tiny; small; trifling
郵	jau 4 postal; mail
寄	gei 3 to send mail; to post
疲	pei 4 weary; tired; exhausted
達	daat 6 to achieve; to attain
搵	wan 2 to search; to look for
盒	hap 6 box; case
勁	ging 3 vigor; energy; strength
物	mat 6 thing, matter
粒	lap 1 Classifier for small, round objects
款	fun 2 money (of certain kind)
零	ling 4 zero
鬼	gwai 2 ghost; apparition; spirit
寒	hon 4 cold; wintry; chilly
搣	mit 1 to break apart with the fingers
婆	po 2 old woman
使	sai 2 need to [do something]; have to
銅	tung 4 copper
鑼	lo 4 gong
餸	sung 3 a dish served to accompany rice
豪	hou 4 great; extraordinary
殺	saat 3 to kill; to murder
碌	luk 1  to roll
震	zan 3 to tremble; to shake; to jolt; to quake
罪	zeoi 6 crime; vice
塑	sok 3 plastic
判	pun 3 to judge
允	wan 5 fair; just; equitable; even-handed; impartial
責	zaak 3 to blame; to reproach
指	zi 2 to point; to point out; to aim
賄	kui 2 to bribe
瞓	fan 3 to sleep
斤	gan 1 a unit of weight
貨	fo 3 goods; commodities; products
豈	hei 2 how; how can it be that (used in rhetorical questions)
負	fu 6 to carry (on the back); to bear (a burden or responsibility)
聞	man 4 to smell; to detect; to get a sniff at
拷	haau 2 to interrogate, chiefly by torture; to extract confession
紀	gei 2 rule; discipline
錄	luk 6 to record; write down
匆	cung 1 hasty; hurried
敗	baai 6 to fail
栽	zoi 1 to cultivate; to plant; to grow
梭	so 1 go to and fro
逗	dou 4 to stay; to remain; to stop
漆	cat 1 varnish; lacquer; paint
廝	si 1 mutually; with each other
焦	ziu 1 burned; scorched
廳	teng 1 hall; large room
鬱	wat 1 depressed; gloomy; moody
璃	lei 4 second character of glass
確	kok 3 real; true
撲	pok 3 to beat; to strike
嚮	hoeng 3 to turn toward; to approach
噸	deon 1 Classifier for metric ton.
湧	jung 1 to rush out like water; to gush
羈	gei 1 to restrain; to hold; to control
鄙	pei 2 mean; ignoble
眾	zung 3 masses; people; multitude; crowd; everyone
輛	loeng 6 Classifier for wheeled vehicles
崔	ceoi 1 high, lofty, towering
促	cuk 1 hurried; urgent
臂	bei 3 (anatomy) arm
箍	ku 1 to bind; to encircle
膚	fu 1 skin
肌	gei 1 muscle; flesh
殞	wan 5 to die; to perish
石	sek 6 stone; rock
進	zeon 3 to advance; to move forward
功	gung 1 achievement; merit; good result
標	biu 1 mark; symbol; label; sign; emblem
枉	wong 2 in vain; to no avail; for naught
瘋	fung 1 mentally unstable; crazy; insane; mad
誤	ng 6 incorrect
沈	cam 6 to sink; to submerge (into water)
罕	hon 2 rare; scarce
訪	fong 2 to visit
掘	gwat 6 to dig; to excavate
率	leot 6 rate; frequency
異	ji 6 different; other
芒	mong 4 ray; beam (of light)
橋	kiu 4 bridge
寵	cung 2 favour; love
管	gun 2 to concern oneself with; to interfere with
寶	bou 2 treasure; riches; valuables; precious thing
陷	ham 6 fault; defect; drawback
笨	ban 6 stupid; foolish; silly; slow-witted
拙	zyut 3 stupid; clumsy
環	waan 4 circle; ring; hoop
炫	jyun 6 to show off; to boast
耀	jiu 6 to shine; to sparkle
啞	aa 2 mute; dumb (unable to speak)
堪	ham 1 may; can; to be capable of; to be able to
尚	soeng 6 still; yet
毫	hou 4 slightest bit; least amount
睡	seoi 6 to sleep
喝	hot 3 to drink
盈	jing 4 to fill; to be full of; to be filled with
啤	be 1 beer
瀉	se 3 to pour out; to flow rapidly; to pour down
酒	zau 2 alcoholic beverages in general; alcoholic drink
吧	baa 6 indicate a suggested action: why don't you ...; let us ...
轟	gwang 1 to rumble; to explode; to blast
烈	lit 6 fiery; blazing; intense
甘	gam 1 willingly; readily
宗	zung 1 main purpose
旨	zi 2 intention; purpose; aim
啟	kai 2 to open
齒	ci 2 to utter; to mention
詳	coeng 4 detailed; complete; thorough
勵	lai 6 to encourage
志	zi 3 will; determination; aspiration; ambition
番	faan 1 Classifier for different kinds of things: kind; type
熬	ngou 4 to cook something on slow fire; to extract something using heat
創	cong 1 to injure; to harm; to damage
垮	kwaa 1 to collapse; to fall
類	leoi 6 Classifier for types of things: type, kind, sort
潮	ciu 4 trendy; popular
示	si 6 to show; to reveal; to indicate; to notify; to instruct
擠	zai 1 to crowd together tightly; to squeeze
